,0
day_of_week,698
long_lower_shadow_4h,647
break_support_4h,560
long_upper_shadow_4h,553
atr_pct_4h,521
atr_pct_ratio_1h_4h,514
hour_of_day,505
break_resistance_4h,490
cg_total_volume_roc_4h,425
hv_7d_4h,408
rsi_bear_div_4h,405
stoch_d_4h,391
rsi_bull_div_4h,380
price_ratio_cg_4h,377
hv_14d_4h,362
atr_pct_ratio_4h_d1,290
rsi_diff_1h_4h,272
rsi_diff_4h_d1,266
volume_cg_ratio_4h,261
vol_ratio_1h_4h,244
bb_width_ratio_4h_d1,211
cg_market_cap_roc_4h,192
vol_ratio_4h_d1,187
eth_correlation_1h_4h,180
btc_correlation_1h_4h,174
